Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C16EAZ,1,0,8.0,,0.0
C16EYF,1,6,2.0,-1.1777649401647452,0.1684
C16HLY,2,3,3.5,-0.29395814953208493,0.4056
C16JKI,2,6,3.5,0.2603384007507216,0.506
C16NRY,1,3,4.0,0.5183042676766957,0.7486
C16RZH,1,2,5.0,5.2448805448574864,1.0
C16UXT,1,3,4.0,-0.5295738938390189,0.5168
C16XST,1,0,4.0,,0.0
C16ZLE,1,8,3.0,,0.0
C17DPA,1,0,8.0,,0.0
C17FPH,1,7,4.0,1.9930915164897591,1.0
C17HUI,1,6,2.0,-0.49892218025118684,0.4666
C17IUE,1,3,5.0,1.3895439382722714,1.0
C17PCM,1,3,3.0,-0.924758047477855,0.3258
C17PUR,1,6,2.0,-1.1777649401647452,0.1684
C17RXP,2,0,7.5,,0.0
C17RZG,3,2,6.0,4.429044427916333,1.0
C17UMV,1,8,2.0,-1.0553431175074917,0.2342
C17UYM,1,3,5.0,,0.0
C17VLR,2,6,3.0,0.4716748027938783,0.7458
C18HKQ,2,3,3.5,-0.3857357853412827,0.497
C18ILO,1,0,4.0,,0.0
C18MVS,1,7,4.0,1.9930915164897591,1.0
C18OJH,1,6,2.0,-0.8426193842803549,0.3412
C18VUC,2,3,4.5,1.9175666121169872,1.0
C19BET,2,3,5.0,1.5935502526752323,1.0
C19EZB,1,3,3.0,-1.4391848634741369,0.3256
C19KMH,1,6,1.0,-1.7101973460411706,0.1288
C19LBX,1,0,7.0,,0.0
C19NOL,1,6,4.0,0.6286723010771527,0.8316
C19PBH,2,8,3.0,0.09741599328981401,0.739
C19PJE,3,0,3.6666666666666665,,0.0
C19SVO,1,2,6.0,2.4903280645763775,1.0
C19TDW,1,7,4.0,1.9930915164897591,1.0
C19UCA,1,6,3.0,,0.0
C19WFZ,1,3,4.0,-0.019107596817660697,0.6588
C1A5QE,2,3,4.5,1.9175666121169872,1.0
C1ABC5,1,3,5.0,0.5852803866909595,0.8574
C1AF9L,1,3,3.0,-0.8075925411543274,0.4056
C1AH3S,1,6,2.0,-0.38334811405491903,0.5808
C1AKH9,1,8,3.0,0.09741599328981401,0.739
C1AN2Q,1,6,1.0,-1.7101973460411706,0.1288
C1B0RC,1,0,7.0,,0.0
C1B7MR,1,7,4.0,1.9930915164897591,1.0
C1BDP7,2,6,2.5,-0.027511910559720194,0.5046
C1BG2L,1,2,5.0,5.2448805448574864,1.0
C1BLZ5,1,3,4.0,-0.5295738938390189,0.5168
C1BM2O,1,3,5.0,1.3895439382722716,1.0
C1BNT0,1,0,5.0,,0.0
C1BQF4,1,3,5.0,1.4146379325438996,1.0
C1BR4N,1,3,3.0,-1.4391848634741369,0.3256
C1BUW4,1,6,4.0,0.5212486439503553,0.7744
C1C0UT,2,8,3.0,-0.8933459188170043,0.2486
C1C2LM,1,6,2.0,-1.1777649401647452,0.1684
C1C2ZX,1,0,7.0,,0.0
C1C3SJ,1,6,2.0,-0.49892218025118684,0.4666
C1C6FM,1,7,4.0,1.9930915164897591,1.0
C1C8ZV,1,3,5.0,,0.0
C1CA4M,1,3,3.0,-1.8692486272892415,0.163
C1CB2R,1,0,4.0,,0.0
C1CI9G,1,2,7.0,6.989978028233928,1.0
C1CIU0,1,3,3.0,-0.7278439859167346,0.3256
C1CNH9,1,3,5.0,1.4146379325438996,1.0
C1CO9H,2,6,3.0,0.4716748027938783,0.7458
C1CPO0,1,8,3.0,,0.0
C1CR9Y,1,6,1.0,,0.0
C1CY7D,1,3,5.0,1.3895439382722714,1.0
C1CZ3O,1,0,7.0,,0.0
C1D0ZQ,1,0,4.0,,0.0
C1D3YU,1,7,4.0,1.9930915164897591,1.0
C1D4TK,1,6,3.0,-0.11225162217587366,0.5096
C1D8GP,1,8,4.0,-0.29969516689247644,0.618
C1D8YQ,2,3,4.0,0.43790308576191816,0.9128
C1DAW5,1,6,1.0,-1.7101973460411706,0.1288
C1DCG4,1,2,6.0,2.4903280645763775,1.0
C1DF7C,1,3,3.0,-0.924758047477855,0.3258
C1DSG0,1,3,5.0,1.4146379325438996,1.0
C1DVM6,1,6,2.0,-0.38334811405491903,0.5808
C1DW2N,1,3,5.0,1.3895439382722716,1.0
C1DYB4,1,0,8.0,,0.0
C1E0CL,2,7,4.0,1.4637603360286122,1.0
C1E4BJ,1,0,5.0,,0.0
C1E5YI,1,8,3.0,-1.4182033850404425,0.2486
C1E7HF,3,6,1.3333333333333333,-1.664027758716428,0.0152
C1E8PU,1,6,2.0,-0.8426193842803549,0.3412
C1E9BA,2,3,4.0,0.43790308576191816,0.9128
C1EF4L,1,2,6.0,2.3230589677595566,1.0
C1EH5P,1,3,4.0,,0.0
C1EH6C,1,3,4.0,0.5183042676766957,0.7486
C1EI3C,2,6,3.0,0.4716748027938783,0.7458
C1ELZ5,1,0,8.0,,0.0
C1EO7I,2,7,4.0,1.4637603360286122,1.0
C1EQN3,2,3,4.5,1.9175666121169872,1.0
C1ET9C,1,0,4.0,,0.0
C1EVH2,1,8,2.0,-1.0553431175074917,0.2342
C1FA4Y,1,3,3.0,-0.924758047477855,0.3258
C1FC5U,1,2,5.0,5.2448805448574864,1.0
C1FH9Q,1,6,2.0,-0.8426193842803549,0.3412
C1FIE4,1,3,4.0,0.7712048777127737,1.0
C1FKW6,1,6,2.0,-0.8083857394697593,0.4144
C1FM8B,1,3,5.0,1.4146379325438996,1.0
C1FTX3,1,6,3.0,-0.3530439168793694,0.596
C1FZ5O,1,3,5.0,2.6378858758863895,1.0
C1GAT7,1,7,4.0,,0.0
C1GDE4,1,0,7.0,,0.0
C1GDL2,1,8,2.0,-1.0553431175074917,0.2342
C1GH5L,1,0,4.0,,0.0
C1GOE5,2,6,2.5,-0.027511910559720194,0.5046
C1GT9Y,1,3,3.0,-0.924758047477855,0.3258
C1H3KN,1,3,4.0,,0.0
C1H4NB,2,2,6.5,3.2456418715634476,1.0
C1H6FT,1,6,3.0,-0.5258653634337958,0.4974
C1HI5B,1,3,6.0,1.4085168035098468,0.9302
C1HJO0,1,7,4.0,1.9930915164897591,1.0
C1HNT9,2,3,5.0,1.4705629346337175,1.0
C1HQL7,2,6,3.0,0.4716748027938783,0.7458
C1HSE0,1,3,3.0,-1.8692486272892415,0.163
C1HW4B,4,0,7.25,,0.0
C1HX0W,1,0,4.0,,0.0
C1I0RG,1,8,3.0,-0.8933459188170043,0.2486
C1I6HO,1,3,3.0,-0.7278439859167346,0.3256
C1IEJ2,1,6,2.0,-0.49892218025118684,0.4666
C1IFC6,1,2,6.0,,0.0
C1IG7E,1,6,2.0,-0.8083857394697593,0.4144
C1IKD6,2,3,5.5,1.0626048577700655,0.8938
C1IX2E,1,7,4.0,1.1698485854726073,1.0
